id,question,expected,gemini_answer,bert_P,bert_R,bert_F1
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","Hello! As an assistant for Erasmus students at UL FRI, I can help you with that.

For one semester of an Erasmus+ study exchange at the University of Ljubljana, the recommended workload is **30 ECTS** credits.

However, the **minimum** number of ECTS credits you must take is determined by your home university and the Erasmus+ programme rules. This is typically **20 ECTS** per semester.

You should always confirm the specific minimum ECTS requirement with your home university's international office or Erasmus coordinator.",0.5154,0.6556,0.5771
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full-year Erasmus+ study exchange at the University of Ljubljana, you are expected to complete **60 ECTS** credits.

This is based on the standard academic workload of **30 ECTS per semester**.",0.5883,0.7062,0.6419
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","Based on the general rules for the Erasmus+ programme at the University of Ljubljana, here is what happens if you obtain fewer than 20 ECTS during one semester abroad:

The primary consequence is financial. You may be required to **repay a portion or the entire Erasmus+ grant**.

Here are the key points:

*   **Minimum Requirement:** To keep your full Erasmus+ grant, you are obligated to successfully complete a minimum of **20 ECTS** for a single-semester exchange (or 40 ECTS for a full academic year).
*   **Grant Repayment:** If you fail to meet this minimum requirement without a valid and documented reason, the University of Ljubljana's International Office can demand a partial or full reimbursement of the grant you received.
*   **Justified Reasons (Force Majeure):** If you were unable to complete your studies due to exceptional circumstances beyond your control (e.g., a serious documented illness), you must immediately inform the International Office. If your reasons are accepted, you may not have to repay the grant. You will need to provide official proof.
*   **Academic Recognition:** The ECTS credits you *did* successfully obtain can still be transferred and recognized by FRI, but you will need to discuss with your faculty coordinator how to make up for the missing credits required for your study program.

**What should you do?**

If you anticipate that you will not be able to achieve the 20 ECTS minimum, you should contact both of the following as soon as possible:

1.  **The International Office of the University of Ljubljana:** To discuss your situation regarding the financial grant.
2.  **Your Erasmus Coordinator at FRI:** To discuss the academic implications for your study program.",0.4327,0.6364,0.5151
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you can take language courses during your Erasmus+ exchange at the University of Ljubljana. Here are your main options:

**1. Slovene Language Courses at the University of Ljubljana**

The central university (not the Faculty of Computer and Information Science directly) offers Slovene language courses for international students.

*   **Who organizes them?** The courses are run by the **Centre for Slovene as a Second and Foreign Language**, which is part of the Faculty of Arts.
*   **What is offered?** They typically offer various options, including intensive courses before the semester begins, semester-long courses, and summer schools.
*   **Do they provide ECTS credits?** Yes, successfully completing these courses usually awards you ECTS credits (typically 3 to 6 ECTS, depending on the course).
*   **Is there a fee?** These courses are generally not free, and you will have to pay a fee to enroll.

For the most current information on course dates, fees, and registration, please check the official website: **[Centre for Slovene as a Second and Foreign Language](https://centerslo.si/en/)**.

**2. Erasmus+ Online Language Support (OLS)**

The Erasmus+ programme itself provides a free online platform to help you learn the local language.

*   You should receive an invitation to the OLS platform from your home university after you have been selected for the exchange.
*   It allows you to take a language assessment before and after your exchange and provides access to a free online language course to use throughout your stay.

**In summary:** You can take paid, in-person Slovene courses at the university for ECTS credits, and you can also use the free Erasmus+ Online Language Support platform to supplement your learning.",0.3871,0.583,0.4653
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,"Based on the principles of the Erasmus+ program and general university policies, the answer is:

**Generally, no.** The purpose of an Erasmus+ exchange is to study full-time at the host university and fully immerse yourself in the academic and cultural environment there. Your academic obligations are to the host institution during your exchange period.

Attempting to complete mandatory courses at FRI remotely at the same time would create a double workload and is not the standard procedure. The courses you take abroad are meant to be recognized and replace the courses you would have taken at FRI.

For a definitive and official answer regarding your specific situation, you **must** contact:

1.  The **FRI International Office** (Erasmus Coordinator).
2.  The **FRI Student Affairs Office** (Študentski referat).

They can provide you with the official faculty regulations on this matter.",0.4682,0.6881,0.5573
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can.

Taking elective courses is a very common and practical way to fulfill your credit requirements during an Erasmus exchange.

Here is the general process:

1.  **Course Selection:** You choose an elective course at your host university that interests you and fits into your study program. It's often easier to find a suitable elective than to find an exact match for a mandatory course.
2.  **Learning Agreement:** You must list this course in your **Online Learning Agreement (OLA)**. This document is a crucial part of your exchange.
3.  **Approval:** Your Learning Agreement, including the chosen elective, must be approved by the Erasmus coordinator at UL FRI **before your departure**. This approval confirms that the course will be recognized upon your successful completion.

By getting prior approval, you ensure that the ECTS credits you earn for the elective course abroad will be transferred and counted towards your degree at UL FRI.

For detailed procedures and to start the process, you should consult the information for outgoing students on the faculty website and contact the FRI International Office.

**More information:** [UL FRI Information for Outgoing Students](https://www.fri.uni-lj.si/en/international-cooperation/student-exchanges/information-outgoing-students)",0.4405,0.6258,0.517
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.","Yes, it is possible to replace a mandatory FRI course with a course taken during your Erasmus exchange, but it is subject to strict conditions and requires approval.

Here is the general process:

1.  **Find a Similar Course:** You must find a course at your host university that is very similar in content, scope, and ECTS credits to the mandatory FRI course you want to replace.
2.  **Get Approval:** Before your exchange, you must get this replacement approved by the responsible person at FRI (usually your study programme coordinator or the faculty's Erasmus coordinator).
3.  **Learning Agreement:** This approved replacement must be officially listed in your Learning Agreement.

**In short:** Replacing an elective course is straightforward, but replacing a mandatory one requires a close content match and explicit approval from the faculty before you leave.

For official confirmation and to start the approval process, you should contact the **International Office at FRI**.",0.4348,0.6057,0.5062
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Yes, it is possible to do your bachelor's or master's thesis as part of an Erasmus+ exchange.

This is typically arranged as an **Erasmus+ Traineeship (Praksa)** rather than a standard study exchange. Here's a summary of the process:

*   **Type of Exchange:** You would apply for an Erasmus+ Traineeship, which can be undertaken at a partner university, research institute, or a company abroad.
*   **Supervision:** You will need two supervisors: one at the host institution abroad and one at UL FRI who will officially be your thesis mentor.
*   **Agreement:** Before you leave, you must complete a ""Learning Agreement for Traineeships."" This document outlines your work plan, research tasks, and learning objectives, and it must be signed by you, your supervisor at FRI, and your supervisor at the host institution.
*   **Finding a Placement:** You are generally responsible for finding a suitable host institution and supervisor for your thesis topic.

For detailed procedures, required documents, and application deadlines, you should contact the **International Office at FRI**.",0.4634,0.6464,0.5398
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","Of course, I can help with that.

The number of ECTS credits for thesis work at the UL Faculty of Computer and Information Science (FRI) depends on the level of study:

*   **Bachelor's Thesis** (*Diplomsko delo*): **12 ECTS**
*   **Master's Thesis** (*Magistrsko delo*): **30 ECTS**

For an Erasmus+ student, undertaking thesis work is considered an individual research project. It is crucial that you arrange this **in advance** of your arrival by finding and agreeing on a topic with a professor who will act as your mentor.

For official procedures, you should always contact the FRI International Office.",0.4908,0.6973,0.5761
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,"Of course, I can help with that.

The **Erasmus+ financial support application** is the administrative procedure you must complete *after* you have been officially selected for an Erasmus+ exchange spot. Its purpose is to formalize the grant you will receive to help cover the additional costs of living and travelling abroad.

It is not a competitive application to *win* a scholarship; rather, it is the process to receive the standard grant that all selected Erasmus+ students are entitled to.

The process at the University of Ljubljana typically involves:

1.  **Receiving Instructions:** After your nomination by FRI is confirmed, the central UL International Relations Office will send you instructions via email.
2.  **Online Application:** You will need to complete an online application in the university's student information system (VIS/STUDIS). This is where you provide necessary details, including your bank account information (IBAN).
3.  **Signing the Grant Agreement:** The final step is to electronically sign the ""Grant Agreement for Erasmus+ studies."" This is the official contract between you and the University of Ljubljana that outlines the amount of your grant, payment schedule, and your obligations.

This entire process is managed centrally by the University of Ljubljana, not the faculty (FRI).

For the most accurate and detailed information, please refer to the official University of Ljubljana page on financial support: **[University of Ljubljana - Financial Support](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/financial_support/)**.",0.4631,0.6685,0.5472
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,"Based on the information from the University of Ljubljana (UL), you do not submit a separate application for Erasmus+ financial support. The grant is awarded automatically to all students selected for an Erasmus+ exchange.

Here is the process:

1.  **Main Application:** Your application for the Erasmus+ exchange, submitted through the university's online system (VIS), also serves as your application for the grant.
2.  **Grant Agreement:** After you have been officially selected for the exchange, the University of Ljubljana's International Relations Office will contact you to sign the **Erasmus+ Grant Agreement** (also called the Financial Agreement).
3.  **Receiving Funds:** Signing this agreement is the final step to secure your financial support. The funds are managed and disbursed by the central University of Ljubljana, not the faculty (FRI).

In short: **Apply for the Erasmus+ exchange, and the financial support process will follow automatically once you are accepted.**

For the most detailed and up-to-date information, please refer to the University of Ljubljana's main page on Erasmus+ financial support: [UL Erasmus+ Grant Information](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus-plus-programme/grant/).",0.4741,0.6915,0.5625
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.","Based on the information provided by the University of Ljubljana, your Erasmus+ financial support application must be completed and submitted online **at least one month before the start of your mobility**.

This process typically involves:
1.  Completing the application in the VIS online system.
2.  Printing, signing, and submitting the Grant Agreement (Erasmus+ financial contract) to the University of Ljubljana's International Relations Office.

This is a central university procedure, not a faculty-level one. For the most accurate and detailed instructions, please refer to the official University of Ljubljana page for outgoing Erasmus+ students:

*   **University of Ljubljana - Procedure after the Nomination:** [https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/sms_outgoing/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/sms_outgoing/)

Always double-check the specific deadlines and instructions sent to you by the university's international office after your nomination.",0.3662,0.6859,0.4774
Q23,What are the final deadlines for Erasmus+ financial support in 2026/27?,"For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

The final deadlines for Erasmus+ financial support for the **2026/27 academic year have not yet been published**.

Typically, the calls for applications and their associated deadlines are announced approximately one year in advance. Based on previous years, you can expect the following general timeline:

*   The main application call for Erasmus+ studies for the full academic year 2026/27 (or just the winter semester) will likely be published in **late 2025 or early 2026**.
*   The deadline for this main call is usually around **late January or early February 2026**.

**My recommendation:**
You should start checking the official websites for the updated call for applications around **December 2025**.

Here are the official pages you should monitor for the announcement:

1.  **UL FRI International Office:** This is the most important page for you as a FRI student.
    *   [https://www.fri.uni-lj.si/en/international-office](https://www.fri.uni-lj.si/en/international-office)
2.  **University of Ljubljana (Central Office):** The main university site lists the official calls for all faculties.
    *   [https://www.uni-lj.si/international_cooperation_and_exchange/](https://www.uni-lj.si/international_cooperation_and_exchange/)

Keep an eye on those pages closer to the time for the official dates and documents.",0.4134,0.55,0.472
Q24,"If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

No, if your exchange starts on 1 September 2026, **15 October is not your deadline.**

That date is typically the deadline for the **second (spring) semester**. Since your exchange starts in September, you will be applying for the **first (winter) semester**.

Based on the current information from the University of Ljubljana, the deadlines for the first semester are:

*   **Nomination Deadline (by your home university):** 15 May
*   **Application Deadline (by you, the student):** 1 June

**Important:** Since 2026 is in the future, these dates could change. You should always confirm the exact deadlines on the official University of Ljubljana website closer to your application period.

You can find the most up-to-date information on the university's central page for exchange students: [University of Ljubljana - Application Procedure for Exchange Students](https://www.uni-lj.si/study/exchange/application_procedure/).",0.4178,0.6032,0.4936
Q25,What documents do I need for the Erasmus+ financial support application?,"The required documents include a Letter of Acceptance, Learning Agreement, copy or photo of a Slovenian bank card, certificate of enrollment for 2026/27, and supporting documents for additional grants if applicable. OLS language assessment results may also be uploaded if completed.","Of course! The application for Erasmus+ financial support is managed by the central International Relations Office of the University of Ljubljana (UL), not directly by the FRI faculty.

Based on the information on the UL website, you will typically need the following documents and information to complete your application for the Erasmus+ grant, usually submitted via the VIS online portal after you have been accepted by your host university:

*   **Learning Agreement:** A finalized version signed by you, your departmental coordinator at FRI, and the coordinator at your host institution.
*   **Letter of Acceptance:** The official acceptance letter from your host university.
*   **Bank Account Information:** You will need to provide details of a bank account (usually a Slovenian one) where the grant will be transferred.
*   **Proof of Insurance:**
    *   A copy of your valid European Health Insurance Card (EHIC).
    *   Proof of commercial accident and liability insurance for the duration of your exchange. The university often provides information on recommended providers.
*   **Online Linguistic Support (OLS) Assessment:** You must complete the mandatory OLS language test before your mobility begins.

**Important Note:** The UL International Relations Office will contact you directly via email with detailed instructions, forms, and deadlines after your nomination is complete. Always follow their specific instructions.

For the most up-to-date and official information, please refer to the University of Ljubljana's page for outgoing Erasmus+ students:
[https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/)",0.4316,0.631,0.5126
Q26,Can an email from the host university count as a Letter of Acceptance?,"Yes. The Letter of Acceptance may be an official letter, an email confirming acceptance, or a fully signed Learning Agreement, depending on the instructions.","Hello! As the Erasmus assistant for UL FRI, I can help with that.

Generally, a simple email from the host university is **not sufficient** to be used as an official Letter of Acceptance.

Here's a more detailed explanation:

*   **For Official Purposes:** For formal procedures, such as applying for a visa, a residence permit, or completing your paperwork with the University of Ljubljana, you will need a formal, official document.
*   **What is required:** The official Letter of Acceptance should be a formal document, usually a PDF file, that is printed on the host university's official letterhead and includes a signature and/or an official stamp.

**Recommendation:**
If you have only received an informal email confirmation, you should reply and politely request that they send you a formal, signed Letter of Acceptance as a PDF attachment for your official records and potential visa application.

For any specific questions about the documents required by our faculty, you can always contact the **FRI International Office**. You can find their contact information here:
[FRI International Office](https://www.fri.uni-lj.si/en/international-office)",0.4234,0.6163,0.5019
Q27,What if I cannot get the host coordinator’s signature on the Learning Agreement before the application deadline?,The student may temporarily upload a Learning Agreement signed only by the student and the home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.,"Based on the application procedure for exchange students at the University of Ljubljana, this is generally not a problem.

For the initial application, you only need to submit the Learning Agreement signed by **yourself** and the **coordinator from your home university**.

The host coordinator at UL FRI will sign the Learning Agreement after your application has been processed and you have been accepted. The signed document will then be sent back to you and your home university.

**In short:** Submit your application on time with the signatures you have (yours and your home coordinator's). The host signature will be arranged later in the process.

If you have further concerns, you can contact the FRI International Office at **international.office@fri.uni-lj.si**.",0.4484,0.5957,0.5116
Q28,Can Erasmus+ payments be made to any bank account?,No. Payments can only be made to bank accounts opened in the Republic of Slovenia.,"Based on the information from the University of Ljubljana, Erasmus+ grant payments cannot be made to just any bank account.

The University of Ljubljana requires the grant to be transferred to the student's **personal transaction account (TRR) opened in Slovenia**.

Therefore, if you are an outgoing student receiving an Erasmus+ grant from the University of Ljubljana, you will need to have a Slovenian bank account in your name for the payment to be processed.

You can find this information on the University of Ljubljana's website under the section for Erasmus+ study mobility for outgoing students.",0.4456,0.6986,0.5441
Q29,What happens after I submit the complete Erasmus+ financial support application?,"After the application is complete and all required documents are uploaded, the student receives the Erasmus+ Grant Agreement by email with signing instructions.","Based on the procedures at the University of Ljubljana, here is what happens after you submit your complete Erasmus+ financial support application:

1.  **Application Review:** The University of Ljubljana's International Relations Office will review your application to ensure it is complete and correct.

2.  **Receiving the Grant Agreement:** If your application is approved, the International Office will prepare and send you the **Erasmus+ Grant Agreement** (Finančna pogodba). This is the official contract for your scholarship. It will be sent to your student email address.

3.  **Signing and Returning the Agreement:** You must carefully read, sign, and return the Grant Agreement to the International Office by the specified deadline. Follow their instructions precisely, whether it requires a digital signature or a scanned copy.

4.  **First Grant Payment:** The first installment of your grant (typically 80% of the total amount) will be transferred to your bank account. This payment is usually processed **after** the university receives your signed Grant Agreement and a few weeks before your mobility starts.

In summary, the most important next step is to watch your email for the Grant Agreement, as signing and returning it is the key to receiving your funds.

For the most detailed and official information, always refer to the University of Ljubljana's pages on Erasmus+ mobility for outgoing students.",0.4696,0.692,0.5595
Q30,How do I sign the Erasmus+ Grant Agreement?,The agreement normally has to be signed using a qualified digital signature and uploaded back into the Erasmus+ application at least 10 days before departure.,"Of course, I can help with that.

The Erasmus+ Grant Agreement is the financial contract between you and the University of Ljubljana. The signing process is handled electronically through the university's central information system.

Here is the general procedure for signing your Erasmus+ Grant Agreement:

1.  **Notification:** You will be notified by the University of Ljubljana's International Relations Office via email when your Grant Agreement is prepared and ready for signing. This usually happens after your Learning Agreement has been approved by all parties.

2.  **Access the System:** Log in to the **STUDIS** information system.

3.  **Find the Document:** Navigate to the section for international mobility (often under a tab like ""My Data"" > ""International Exchanges"" or similar). Your Grant Agreement will be available there as a document to be signed.

4.  **Sign Electronically:** You will need to sign the document electronically. This is typically done using a qualified digital certificate. Make sure you have one set up and ready.

**Key Points to Remember:**

*   The Grant Agreement is a crucial document as it outlines the terms of your financial support. Read it carefully before signing.
*   This process is managed by the central **University of Ljubljana International Relations Office**, not the faculty (FRI) office.
*   If you encounter any technical problems with the signing process in STUDIS or have questions about the content of the agreement, you should contact the UL International Relations Office directly. You can find their contact information on the main university website under the ""International"" section.",0.4249,0.669,0.5197
Q31,What if I cannot obtain a qualified digital signature?,"Only in justified exceptional cases, the student may use the old procedure: print the agreement, sign it by hand, and send it by post to the University of Ljubljana.","Based on the application procedure outlined by the University of Ljubljana for exchange students, if you cannot obtain a qualified digital signature for your documents (like the Application Form or Learning Agreement), you have an alternative.

You can **print the document, sign it by hand (a ""wet signature""), and then upload a clear scan** of the signed document to the application system.

In short, both a qualified digital signature and a scanned handwritten signature are accepted.",0.5394,0.6993,0.609
