id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q29,What happens after I submit the complete Erasmus+ financial support application?,"After the application is complete and all required documents are uploaded, the student receives the Erasmus+ Grant Agreement by email with signing instructions.",The remaining funds are paid after successful completion of the Erasmus+ exchange.,0.7817,0.7201,0.7497
Q30,How do I sign the Erasmus+ Grant Agreement?,The agreement normally has to be signed using a qualified digital signature and uploaded back into the Erasmus+ application at least 10 days before departure.,The agreement must normally be signed using a qualified digital signature and uploaded back into the Erasmus+ application.,0.9721,0.8969,0.933
Q31,What if I cannot obtain a qualified digital signature?,"Only in justified exceptional cases, the student may use the old procedure: print the agreement, sign it by hand, and send it by post to the University of Ljubljana.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6416,0.6347,0.6382
Q32,How is the Erasmus+ scholarship paid?,"The first payment includes 80% of the basic Erasmus+ financial support, 80% of the additional grant for students with fewer opportunities if applicable, and 80% of standard travel support. The remaining funds are paid after successful completion of mobility.","The first payment includes 80% of the basic Erasmus+ financial support, 80% of the additional grant for students with fewer opportunities, and 80% of standard travel support. The remaining funds are paid after successful completion of the Erasmus+ exchange.",0.9619,0.953,0.9574
Q33,When is the first Erasmus+ payment transferred?,"After the signed Grant Agreement is returned, the University of Ljubljana transfers the first payment within 30 days or before departure, whichever comes first.","The first payment includes 80% of the specified amounts, and these are paid before the exchange, but the remaining funds are paid after successful completion of the Erasmus+ exchange.",0.7201,0.6903,0.7049
Q34,What is the monthly Erasmus+ grant for Group 1 countries in 2026/27?,"The monthly grant for Group 1 high-cost countries is 674 EUR. This group includes Austria, Belgium, Denmark, Finland, France, Germany, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, the Netherlands, Norway, and Sweden.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6173,0.5026,0.5541
Q35,What is the monthly Erasmus+ grant for Group 2 countries in 2026/27?,"The monthly grant for Group 2 medium-cost countries is 606 EUR. This group includes Cyprus, Czech Republic, Estonia, Greece, Latvia, Malta, Portugal, Slovakia, and Spain.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6158,0.5331,0.5715
Q36,What is the monthly Erasmus+ grant for Group 3 countries in 2026/27?,"The monthly grant for Group 3 lower-cost countries is 550 EUR. This group includes Bulgaria, Croatia, Lithuania, Hungary, Poland, Romania, North Macedonia, Serbia, and Turkey.",The monthly Erasmus+ grant for students from Group 3 countries is 550 EUR.,0.8431,0.6705,0.747
Q37,Can students with fewer opportunities receive extra Erasmus+ funding?,Yes. Eligible students with fewer opportunities may receive an additional grant of 250 EUR per month if they meet the criteria and upload the required supporting documents when submitting the financial support application.,"Yes, students who meet the eligibility criteria can receive an additional grant of 250 EUR per month if they upload the required supporting documents when applying for Erasmus+ financial support.",0.9122,0.9043,0.9082
Q38,Can I submit documents for the additional grant for fewer opportunities later?,No. The supporting document for the additional grant must be uploaded when submitting the Erasmus+ financial support application. Later submission is not possible.,Late applications are not considered.,0.7977,0.6714,0.7291
Q39,What are some examples of eligibility for the additional grant for fewer opportunities?,"A student may be eligible if they have special needs status, special student status, relevant CSD/ZZZS/ZRSŠ/ZPIZ documentation, come from a single-parent or foster family, are a parent of a child under 26, have international protection in Slovenia, or are a member of the Roma community.","A student may be eligible if they have the status of a student with special needs, have a special student status like being a categorized athlete, recognized artist, or participant in international competitions, or if a family member has an eligible decision issued by CSD, ZZZS, ZRSŠ, or ZPIZ.",0.8185,0.799,0.8086
Q40,What if my name is not on the document proving eligibility for the fewer opportunities grant?,"If the student’s name is not listed on the decision or document, they must attach proof that they live in the same household as the person named in the document.","If the student’s name is not listed on the supporting decision, they must attach proof that they live in the same household as the person named in the decision.",0.9652,0.9627,0.964
Q41,Can non-Slovenian students apply for the additional grant for fewer opportunities?,Yes. Students without Slovenian citizenship may submit equivalent official documents and official translations into Slovenian or English proving a disadvantaged background according to comparable criteria.,"Yes, students may receive an additional grant of 250 EUR per month if they meet the eligibility criteria and upload the required supporting documents when submitting the Erasmus+ financial support application.",0.7095,0.6963,0.7029
Q42,What is travel support?,"Travel support is Erasmus+ funding for travel costs. The amount depends on the one-way distance between Ljubljana and the mobility destination, calculated with the EU Distance Calculator, and on whether the travel is green or non-green.","Students are entitled to travel support. The amount depends on the one-way distance between Ljubljana and the mobility destination, calculated using the EU Distance Calculator: https://erasmus-plus.ec.europa.eu/resources-and-tools/distance-calculator. Non-green travel receives 28 EUR, while green travel receives 56 EUR depending on the distance.",0.7758,0.8646,0.8178
Q43,What is the Erasmus+ travel support for 100–499 km?,"For 100–499 km, non-green travel support is 211 EUR and green travel support is 285 EUR.","Non-green travel: 211 EUR
Green travel: 285 EUR",0.8892,0.7902,0.8368
Q44,What is the Erasmus+ travel support for 500–1999 km?,"For 500–1999 km, non-green travel support is 309 EUR and green travel support is 417 EUR.","For distances 100–499 km, non-green travel receives 211 EUR, and green travel receives 285 EUR.",0.88,0.8823,0.8812
Q45,What counts as green travel?,"Green travel means that more than 50% of the journey to and from the mobility destination is completed using low-emission transport such as bus, train, bicycle, or shared transport such as GoOpti.","Green transport includes bus, train, bicycle, and other shared transport like GoOpti. The majority of the journey must be completed using these methods.",0.8458,0.8068,0.8258
Q46,Does carpooling count as green travel?,"No. Airplanes, motorcycles, cars including carpooling, and boats are not considered green means of transport in the provided guidance.","No, carpooling is not considered green transport. According to the document, “car, including carpooling” is explicitly listed as not being green transport.",0.8124,0.7861,0.7991
Q47,How do I prove green travel?,"The student must provide appropriate documents such as tickets showing the travel date and route, receipts, and a declaration of honor. The travel dates must match the mobility dates confirmed in the certificate of duration.","You can prove green travel with tickets showing date and route, receipts, and a declaration of honor. The travel dates on the documents must match the mobility dates confirmed in the certificate of duration.",0.9052,0.9053,0.9052
Q48,Can I get funding for extra travel days if I travel green?,Yes. Students using green travel may request funding for up to 6 additional travel days if needed: up to 3 days for departure and up to 3 days for return.,"Yes, you can. Students using green travel may request funding for additional travel days, up to a maximum of 6 days – up to 3 days for departure and up to 3 days for return.",0.9235,0.9406,0.932
Q49,What is the Erasmus+ Interrail Pass?,It is an Interrail Global Pass intended to encourage green transport for Erasmus+ participants. It is available as 4 or 6 travel days within a 6-month period.,"The Erasmus+ Interrail Pass is available in two options: 4 travel days within a 6-month period, or 6 travel days within a 6-month period.",0.846,0.8294,0.8376
Q50,How long must an Erasmus+ exchange last?,"An Erasmus+ exchange must last at least 2 full months, or 60 days.","An Erasmus+ exchange must last at least 2 full months, meaning 60 days.",0.9792,0.9792,0.9792
Q51,What is the maximum length of an Erasmus+ exchange?,"An Erasmus+ exchange may last up to 12 months, although financial support is limited to 5 months for one-semester exchanges and 10 months for two-semester exchanges.",An Erasmus+ exchange may last up to 12 months.,0.9325,0.7681,0.8423
Q52,How much financial support can I receive for one semester?,"The maximum Erasmus+ financial support for a one-semester exchange is limited to 5 months, or 150 days.","The monthly Erasmus+ financial support depends on the host country group. In Group 1 countries, you’ll receive 674 EUR per month, and in Group 2 countries, you’ll receive 606 EUR per month.",0.6967,0.7421,0.7187
Q53,How much financial support can I receive for a full-year exchange?,"The maximum Erasmus+ financial support for a two-semester exchange is limited to 10 months, or 300 days.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at your home institution. The first payment includes 80% of the basic Erasmus+ financial support and 80% of the additional grant for students with fewer opportunities, if applicable. The remaining funds are paid after successful completion of the Erasmus+ exchange.",0.7,0.7704,0.7335
Q54,Can I stay abroad longer than the funded period?,"Yes. A student may stay on mobility longer, up to the Erasmus+ maximum period, but without financial support beyond the funding limits.","Yes, you may stay longer, up to 12 months, or up to 24 months for integrated study programs if you haven’t used Erasmus+ mobility at your current study level, but without financial support beyond the funding limits.",0.8054,0.8936,0.8472
Q55,What counts as the first day of Erasmus+ mobility?,"The first day is the first day the student must be present at the host institution, such as the first lecture, welcome event, or language/intercultural course included in the Learning Agreement. It is not necessarily the day of arrival.","The first day of mobility is the first day you must be present at the host institution, such as the first lecture, welcome event, or language/intercultural course included in the Learning Agreement. It’s not necessarily the day of arrival.",0.9523,0.9668,0.9595
Q56,What counts as the last day of Erasmus+ mobility?,"The last day is the final day the student must be present at the host institution, such as the last lecture or exam. It is not necessarily the day of departure.","The last day of mobility is the final day the student must be present at the host institution, such as the last lecture or exam. It is not necessarily the day of departure.",0.9584,0.9772,0.9677
Q57,What is combined or blended mobility?,Combined or blended mobility means that physical mobility abroad is combined with a virtual mobility component. The virtual part is not funded by Erasmus+ and does not count toward the Erasmus+ status quota.,Blended mobility with short-term physical mobility involves a combination of physical mobility abroad and a virtual component.,0.8211,0.7307,0.7733
Q58,How long must I stay physically abroad in combined mobility to receive Erasmus+ funding?,"For combined mobility, the student must spend at least 2 continuous months physically abroad to be eligible for Erasmus+ financial support and additional grants.","For combined mobility, the student must spend at least 2 continuous months physically abroad to be eligible for Erasmus+ financial support.",0.9928,0.9666,0.9795
Q59,Who is responsible for arranging accommodation?,The student is responsible for arranging accommodation. The University of Ljubljana is not responsible for housing issues.,Arranging accommodation is the responsibility of each student. The University of Ljubljana is not responsible for housing issues.,0.9481,0.948,0.9481
Q60,What should I be careful about when searching for accommodation?,Students should be cautious because online accommodation scams are common. They should not transfer money in advance without verified information and without properly checking the accommodation.,Students should be cautious when searching for accommodation because online scams are common. You should not transfer money in advance without verified information and without properly checking the accommodation.,0.9502,0.9706,0.9603
Q61,Is OLS language assessment mandatory?,"In the UL financial support guidance, OLS is described as not mandatory but highly recommended. However, some Erasmus guidance documents still describe OLS as required for some mobility contexts. The safest answer is that students should follow the latest UL and host institution instructions since the requirement is dependent on chosen partner instituion and program.","The completion of the OLS assessment before departure is a prerequisite for the mobility. However, it’s not mandatory for native speakers or in duly justified cases. I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.",0.6898,0.6875,0.6887
Q62,Can the host university require a language certificate?,"Yes. Some host universities may require proof of language proficiency or certificates such as IELTS, TOEFL, Cambridge, or equivalent documents.","Some universities may still require certificates (IELTS, TOEFL, Cambridge).",0.8655,0.7793,0.8202
Q63,What is the purpose of OLS?,"OLS, or Online Language Support, is designed to help Erasmus+ students improve their knowledge of the main language of instruction before and during their stay abroad.",OLS is not mandatory but is highly recommended.,0.7115,0.6177,0.6613
Q64,What rights do Erasmus+ students have before mobility?,"Before mobility, students are entitled to guidance on the application process, information about the receiving institution, information about recognition and grading systems, information about insurance, housing, visas if needed, and support for special needs.","You are entitled to equal and equitable access and opportunities under the Erasmus+ programme, as well as to fair, inclusive and transparent procedures at all stages of your mobility.",0.7132,0.6776,0.695
Q65,What agreements must Erasmus+ students sign before mobility?,Students must sign a Grant Agreement with the sending institution and a Learning Agreement with the sending and receiving institutions.,The rights and obligations of Erasmus+ students are described in the Erasmus+ Student Charter.,0.7062,0.6946,0.7003
Q66,Do Erasmus+ students have to pay tuition fees at the host university?,"No. Erasmus+ students must not be charged tuition, registration, examination, laboratory, or library access fees during the mobility period.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6227,0.6101,0.6163
Q67,Can the host institution charge any small fees?,"Yes. A student may be charged small fees on the same basis as local students, such as fees for insurance, student union membership, or study-related materials and equipment.","Students may be charged for things like insurance, student organizations, or materials.",0.8596,0.7663,0.8102
Q68,What rights do Erasmus+ students have during mobility?,"During mobility, students have the right to equal treatment, non-discrimination, academic freedom, access to mentors or buddy networks where available, information about student organizations and support services, and continuation of the same home-country student grants or loans.","You are entitled to equal and equitable access and opportunities under the Erasmus+ programme, as well as to fair, inclusive and transparent procedures at all stages of your mobility.",0.7479,0.6974,0.7218
Q69,What duties do Erasmus+ students have during mobility?,"Students must respect the rules of the receiving institution and host country, follow codes of conduct, act responsibly, avoid behavior that poses health or safety risks, respect academic integrity, and perform their academic obligations to the best of their ability.","You are encouraged to share your mobility experience with friends, fellow students, staff in the home institution, journalists etc. to let other people know and benefit from it.",0.6938,0.6841,0.6889
Q70,Can I request changes to the Learning Agreement during mobility?,Yes. Erasmus+ students can request changes to the Learning Agreement within the deadline decided by the sending and receiving institutions. The changes must be validated by the relevant parties.,"Yes, you are entitled to request changes to the learning agreement within the deadline decided by the sending and receiving institutions.",0.9137,0.8439,0.8774
Q71,When should I request an extension of mobility?,A request to extend the mobility period must be submitted at least one month before the end of the originally planned mobility period.,Students must submit the application form and all mandatory attachments at least 1.5 months before the start of mobility.,0.7836,0.7788,0.7812
Q72,What recognition am I entitled to after mobility?,"The student is entitled to full automatic academic recognition from the sending institution for activities successfully completed during mobility, as long as they are in accordance with the Learning Agreement.","Mobility participants with a virtual component will be recognized, either through automatic recognition or by justifying an alternative recognition.",0.7099,0.6839,0.6967
Q73,When should the receiving institution issue the Transcript of Records?,"The receiving institution should issue the Transcript of Records, preferably in digital format, within five weeks of the publication of the student’s results.",The Receiving Institution should send the Transcript of Records to the student and the Sending Institution within five weeks after publication/proclamation of the student’s results.,0.8893,0.8931,0.8912
Q74,What must I do after Erasmus+ mobility?,"The student must submit required documentation via the UL portal and Studis, and complete the participant report providing feedback about the Erasmus+ mobility period.",Your sending and/or receiving institution may decide to end your mobility period abroad if you do not respect the Erasmus+ Charter. Please get in touch with your sending and/or receiving institutions/organization on what are the options available to you to make your Erasmus+ experience more environmentally friendly.,0.6662,0.6952,0.6804
Q75,When must I submit documents after returning from Erasmus+?,"The student must submit documents as soon as they have all required documentation, no later than 3 months after the end of the exchange or before the end of the academic year in Studis.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.659,0.6381,0.6484
Q76,Who can help me if I have problems during Erasmus+?,"The student can contact the coordinator at the host institution, the Erasmus mentor, the FRI coordinator, the UL international office, or FRI tutors.",The FRI Erasmus office can help you if you have problems during your Erasmus+ period. You can reach them by emailing erasmus@fri.uni-lj.si or visiting their office hours on Mondays between 10:00–11:00 (Zoom or in person).,0.6574,0.7272,0.6905
Q77,What is the FRI Erasmus contact email?,The FRI Erasmus contact email is erasmus@fri.uni-lj.si.,The FRI Erasmus office email is erasmus@fri.uni-lj.si.,0.9801,0.9801,0.9801
Q78,What are the FRI Erasmus office hours?,"The office hours are Monday from 10:00 to 11:00, online by Zoom or in office R3.03.",The FRI Erasmus office has office hours on Mondays from 10:00–11:00 (Zoom or in person).,0.7962,0.778,0.787
Q79,What visa or residence rule should the assistant follow for Erasmus+ questions?,"The assistant should explain that visa and residence requirements depend on citizenship, destination country, mobility duration, and national legislation. Students should verify information with the host institution, embassy or consulate, official government immigration portals, and Erasmus+ guidance resources.","Visa, residence, and immigration requirements depend on your citizenship, destination country, mobility duration, and national legislation. The university assistant provides general informational guidance only and is not a substitute for official legal or immigration advice. Students should always verify requirements with official authorities, follow instructions from the host institution, and consult the relevant embassy or consulate before travel.",0.8289,0.8692,0.8486
Q80,What residence rights do EU citizens have as students in another EU country?,"EU citizens generally have the right to live in another EU country for the duration of their studies if they are enrolled at an approved educational institution, have sufficient financial resources, and have comprehensive health insurance.","An EU citizen has the right to live in another EU country for the duration of their studies if they are enrolled at an approved educational institution, have sufficient financial resources, and have comprehensive health insurance coverage. The host country cannot require the student to have income above the level needed for basic income support.",0.8716,0.9571,0.9123
Q81,Can an EU student be required to register residence immediately after arrival?,"During the first 3 months, the host country generally cannot require residence registration. After 3 months, it may require the student to register with local authorities and prove enrollment, health insurance, and sufficient resources.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6387,0.6165,0.6274
Q82,What documents may an EU student need for residence registration after 3 months?,"The student may need proof of enrollment, proof of comprehensive health insurance, and a declaration of sufficient financial resources.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6229,0.635,0.6289
Q83,What should non-EU students know about visa and residence requirements?,"Non-EU students may need a student visa, temporary residence permit, proof of enrollment, proof of accommodation, proof of financial means, and health insurance. Requirements depend on citizenship, host country, duration of stay, and local legislation.","Non-EU students participating in Erasmus+ mobility may require a student visa, temporary residence permit, proof of enrollment, proof of accommodation, proof of financial means, and health insurance. They should also verify information with the host institution, official embassy or consulate websites, and official government immigration portals. I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.",0.7536,0.8678,0.8067
Q84,When should non-EU students start visa or residence procedures?,They should start early because visa and residence procedures may take several weeks or months. They should follow host institution instructions and consult the relevant embassy or consulate.,Students are strongly advised to begin preparations early. Visa and residence procedures may take several weeks or months. I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.7487,0.8019,0.7744
Q85,What official resource should non-EU students use for EU immigration information?,They should consult the EU Immigration Portal: https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en,"Students without Slovenian citizenship may submit equivalent official documents and official translations into Slovenian or English proving disadvantaged background according to comparable criteria. Students should always verify information with: the host institution, official embassy or consulate websites, and official government immigration portals.",0.6308,0.5945,0.6121
Q86,Which official source should students use for student residence rights in the EU?,They should use the Your Europe page on student residence rights: https://europa.eu/youreurope/citizens/residence/residence-rights/students/index_en.htm,"You can find this information on the following official sources:

*   Your Europe – Student Residence Rights in the EU: https://europa.eu/youreurope/citizens/residence/residence-rights/students/index\_en.htm
*   EU Immigration Portal: https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal\_en
*   Erasmus+ Official Website: https://erasmus-plus.ec.europa.eu/

I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.",0.7173,0.8757,0.7886
Q87,Where can students find official visa or residence information for Slovenia?,"Students can consult the Slovenian Government entry and residence page, the University of Ljubljana temporary residence permit page, and the EU Immigration Portal page for students in Slovenia.","Students can find official visa and residence information for Slovenia through these resources:

*   Slovenian Government – Entry and Residence: https://www.gov.si/en/topics/entry-and-residence/
*   University of Ljubljana – Temporary Residence Permit: https://www.uni-lj.si/en/study/international-students/temporary-residence-permit
*   EU Immigration Portal – Student in Slovenia: https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/student-slovenia_en",0.6675,0.8219,0.7367
Q88,What is short-term doctoral mobility?,"Short-term doctoral mobility is Erasmus+ mobility for doctoral students who want to complete part of their regular study obligations, practical training, research work, or doctoral thesis preparation abroad.",Short-term doctoral mobility is a mobility type where doctoral candidates undertake a short-term physical mobility of 5-30 days combined with a virtual component. It involves a physical stay of 5-30 days alongside a virtual element.,0.7236,0.7312,0.7274
Q89,What is the eligible period for the UL FRI short-term doctoral mobility call?,"The eligible period is from 1 June 2026 to 30 June 2027, or until available funding is exhausted.","The eligible mobility period for this call is 1 June 2026 – 30 June 2027, or until available funding is exhausted.",0.9181,0.9589,0.9381
Q90,When must doctoral students apply for short-term doctoral mobility?,They must submit the application form and all mandatory attachments at least 1.5 months before the start of mobility.,Students must submit the application form and all mandatory attachments at least 1.5 months before the start of mobility.,0.9674,0.9674,0.9674
Q91,How do doctoral students apply for short-term doctoral mobility?,They apply by sending the application form and all required attachments by email to erasmus@fri.uni-lj.si.,Students must submit the application form and all mandatory attachments at least 1.5 months before the start of mobility.,0.7532,0.6835,0.7166
Q92,Can UL FRI students do Erasmus+ traineeships?,Yes. UL FRI students may complete practical traineeships within the Erasmus+ programme.,"Yes, UL FRI students may complete practical traineeships within the Erasmus+ program.",0.9817,0.9817,0.9817
Q93,What is the eligible period for the 2025/26 Erasmus+ traineeship call?,The eligible period is from 1 October 2025 to 30 September 2026.,"The eligible period for this call is 1 October 2025 – 30 September 2026, or until available funding is exhausted.",0.8228,0.9385,0.8768
