"ID","Question","Expected Answer","Baseline — Answer","Baseline — Score (3/2/1/0)","Baseline — Halucination","Baseline — Notes","Retrieval Needed"
"Q11","How many ECTS do I need for one semester of Erasmus+ study exchange?","For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange at the University of Ljubljana, the recommended workload is **30 ECTS** credits.

However, the minimum required number of credits is typically **20 ECTS** per semester.

It is always best to confirm the specific requirements with both your home university coordinator and the international office at UL FRI, as your home institution might have its own rules for the recognition of your exchange period.","2","True","Judge notes: The answer provides the correct ECTS numbers but hallucinates a specific university context (University of Ljubljana), making the answer less generally applicable. | F1: 0.2895 | Key info hit: True | Time: 16.01s",""
"Q12","How many ECTS do I need for a full-year Erasmus+ study exchange?","For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full-year Erasmus+ study exchange at the University of Ljubljana, the standard and recommended workload is **60 ECTS credits**.

This is broken down into **30 ECTS credits per semester**.

While this is the standard full-time workload, the university often has a minimum requirement for exchange students, which is typically **20 ECTS per semester**. You should always aim for 30 ECTS to be considered a full-time student and to meet the requirements of your home university's Erasmus+ grant.","1","True","Judge notes: The model hallucinates a specific university for a general question and provides the standard workload (60 ECTS) instead of the minimum requirement. | F1: 0.24 | Key info hit: True | Time: 15.87s",""
"Q13","What happens if I obtain fewer than 20 ECTS during one semester abroad?","If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","Based on the general regulations for the Erasmus+ programme at the University of Ljubljana, here is what you need to know:

If you obtain fewer than 20 ECTS credits during one semester abroad, you may be required to **partially or fully repay your Erasmus+ financial grant**.

Here are the key points:

*   **Minimum Requirement:** The University of Ljubljana (UL) requires students to successfully complete a minimum number of credits to be eligible for the full grant. This threshold is typically set at **20 ECTS per semester**.
*   **Consequence:** Failing to meet this minimum is considered a non-fulfilment of your study obligations. The university can therefore demand a refund of the grant money.
*   **Exceptional Circumstances:** If you failed to achieve the required ECTS due to justifiable, documented reasons (e.g., serious illness, force majeure), the university may waive the repayment requirement. You must provide official documentation to support your case.

**What should you do?**

If you are in a situation where you might not achieve 20 ECTS, it is crucial to act proactively. You should immediately contact the **International Office at FRI** or the central **International Relations Office of the University of Ljubljana** to explain your situation and seek advice.","1","True","Judge notes: The model correctly identifies the 20 ECTS threshold but invents the consequence of having to repay the grant, whereas the expected consequence is a limitation of financial support to 3 months. | F1: 0.25 | Key info hit: True | Time: 17.13s",""
"Q14","Can I take language courses during Erasmus+?","Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you can take language courses during your Erasmus+ exchange at the University of Ljubljana.

The university offers various Slovene language courses specifically for foreign students, which you can often take for ECTS credits.

These courses are organized by the **Centre for Slovene as a Second and Foreign Language**, which is part of the Faculty of Arts. They typically offer:

*   **Intensive courses** before the start of each semester.
*   **Semester-long courses** that run concurrently with your other studies.

**Action required:**
You should check the official website of the Centre for Slovene for the latest course schedules, fees, and registration details. It is also very important to **consult with your Erasmus coordinator at FRI** to confirm that you can include the language course in your Learning Agreement and receive ECTS credits for it.","3","False","Judge notes: The model provides a correct and more detailed answer than the expectation, including the specific university center for language courses and the crucial step of consulting the faculty coordinator. | F1: 0.1284 | Key info hit: True | Time: 13.17s",""
"Q15","Can I complete mandatory FRI courses remotely while I am on Erasmus+?","No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.","Based on the principles of the Erasmus+ programme and common university policies, it is **generally not possible** to complete mandatory FRI courses remotely while you are on an Erasmus+ exchange.

Here's why:

1.  **Purpose of Erasmus+:** The core idea of the exchange is to be a full-time student at the host university. You are expected to take a full course load there (typically around 30 ECTS per semester).
2.  **Recognition of Studies:** The courses you complete abroad are meant to be recognized and transferred back to your study programme at FRI, replacing the courses you would have taken in Ljubljana.
3.  **Workload and Logistics:** Attending a full-time programme abroad while also trying to follow lectures, do projects, and take exams for FRI courses remotely would be an unmanageable workload and create logistical conflicts (e.g., clashing exam dates).

For a definitive and official answer, you must contact the **FRI International Office**. They are responsible for all procedures related to student exchanges and can confirm the faculty's specific regulations.

You can reach them via email at: **international.office@fri.uni-lj.si**","3","False","Judge notes: The model correctly answers the question, provides valid reasoning, and includes the correct contact information for the relevant office. | F1: 0.1642 | Key info hit: True | Time: 15.93s",""
"Q16","Can I take an elective course abroad?","Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can.

Courses taken during an Erasmus exchange can be recognised as elective courses at UL FRI.

The key steps are:

1.  **Before you leave:** You must choose the courses you plan to take at the host university and list them in your **Learning Agreement**.
2.  **Approval:** This Learning Agreement must be approved and signed by your Erasmus coordinator at UL FRI before your exchange begins. This ensures that the faculty agrees to recognize the selected courses upon your successful completion.
3.  **After you return:** You will submit a formal request for the recognition of completed courses to the faculty's Commission for Study Affairs.

For more detailed information on the procedure, you can consult the UL FRI International Office page on the **Recognition of courses taken abroad**.","3","False","Judge notes: The model correctly answers the question and provides a complete and accurate overview of the procedure, which is more helpful than the expected answer. | F1: 0.2301 | Key info hit: True | Time: 15.21s",""
"Q17","Can I replace a mandatory FRI course with a course abroad?","Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.","Yes, it is possible to replace a mandatory FRI course with a course taken abroad, but it is subject to strict conditions and requires prior approval.

Here is the general procedure:

1.  **Content Similarity:** The course you take at the host university must be very similar in content, scope, and ECTS credits to the mandatory FRI course you wish to replace. You will need to compare the syllabi of both courses carefully.
2.  **Prior Approval:** You **must** get approval **before** your exchange begins. This is a crucial step.
3.  **Consultation:** You need to consult with and get approval from two key people:
    *   The **lecturer/holder of the mandatory course** at FRI. They will assess if the foreign course is a suitable replacement.
    *   The **FRI Erasmus Coordinator** in the International Office, who handles the administrative part of the process.

This agreement is formalized in your **Learning Agreement** document before you leave for your exchange.

**In summary:** While it is easier to replace elective courses, replacing a mandatory one is possible if you find a near-identical course and get all necessary approvals at FRI before your departure. Always start by contacting the FRI International Office for guidance.","3","False","Judge notes: The model answer is correct, more detailed than the expected answer, and provides the standard, actionable procedure for getting a course approved. | F1: 0.1389 | Key info hit: True | Time: 19.11s",""
"Q18","Can I do my bachelor’s or master’s thesis abroad?","Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Yes, you can do your bachelor's or master's thesis abroad as a UL FRI student.

This is typically arranged through the **Erasmus+ Traineeship (Internship)** program. Here are the key points:

*   **You need two supervisors:** You must find a supervisor at the host institution (university, research institute, or company) and also have a supervisor at UL FRI who agrees to co-supervise your work.
*   **Approval is required:** Your thesis topic must be formally approved by your supervisor and the relevant committee at FRI, just like any other thesis.
*   **Learning Agreement:** You will need to prepare a ""Learning Agreement for Traineeships"" that details your work plan, which must be signed by you, your FRI coordinator, and your supervisor at the host institution.

**Next Steps:**

1.  Start by discussing your idea with a potential thesis supervisor at FRI.
2.  Contact the **International Office at FRI** for detailed information on the application process and necessary documentation for an Erasmus+ Traineeship.","3","False","Judge notes: The model's answer is correct and more complete than the expected answer, providing useful context about the traineeship program and actionable next steps. | F1: 0.1679 | Key info hit: True | Time: 16.82s",""
"Q19","How many ECTS does thesis work count for in the Erasmus+ context?","In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","Based on the information provided by the Faculty of Computer and Information Science (FRI) for exchange students, the ECTS value for thesis or project work is as follows:

*   **Project Work (1st and 2nd cycle):** 15 ECTS
*   **Master's Thesis (2nd cycle):** 30 ECTS

Please note that to undertake a thesis or project work at FRI, you must find and secure a supervisor from the faculty's staff *before* you can add it to your Learning Agreement. It is recommended to start contacting potential supervisors in your field of interest well in advance of your exchange period.","0","True","Judge notes: The model provides completely incorrect ECTS values for thesis work and invents a ""Project Work"" category with a false ECTS value. | F1: 0.1905 | Key info hit: True | Time: 15.39s",""
"Q20","What is the Erasmus+ financial support application?","It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.","Of course, I can help with that.

The **Erasmus+ financial support application** is not a separate, competitive application you need to win. Instead, it is the administrative process for receiving the Erasmus+ grant you are automatically entitled to after being accepted for an Erasmus+ exchange.

Here is a breakdown of what it typically involves:

1.  **Automatic Entitlement:** Once you are officially selected and nominated for an Erasmus+ exchange by the university, you are eligible for the financial grant. The grant is intended to help cover the additional costs of living abroad, not all your expenses.

2.  **The Grant Agreement:** The core of the ""application"" is signing the **""Grant Agreement for Erasmus+ studies/traineeship""** (in Slovene: *Pogodba o dodelitvi finančne podpore*). This is a legal contract between you and the University of Ljubljana that specifies the terms of your exchange and the amount of your grant.

3.  **Process:** After your nomination, the University of Ljubljana's International Relations Office will contact you with detailed instructions. You will be required to:
    *   Fill out an online application form in the university's information system (VIS or STUDIS).
    *   Provide your bank account details (IBAN).
    *   Complete and sign the Grant Agreement.

The amount of the grant varies depending on the destination country's cost of living. You will receive the majority of the grant (usually 70-80%) before your departure and the remaining part after you return and submit all the required final documents.

For the most accurate and official information, you should always refer to the central **University of Ljubljana's International Relations Office** website, as they manage the financial aspects of the Erasmus+ program for all faculties.","3","False","Judge notes: The model provides a correct and comprehensive explanation of the process, which is more useful than the concise expected answer, even though it omits the detail about the Online Learning Agreement. | F1: 0.1848 | Key info hit: True | Time: 18.53s",""
"Q21","Where do I apply for Erasmus+ financial support?","Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

The application for Erasmus+ financial support is a two-step process, managed by both the faculty (FRI) and the central University of Ljubljana (UL) office.

Here is the procedure:

1.  **Faculty Nomination:** First, you must apply for the Erasmus+ exchange program through the call published by the UL FRI International Office. Once you are selected and officially nominated by our faculty, your details are sent to the central university office.

2.  **University Application for Grant:** After your nomination, the **International Office of the University of Ljubljana (UL)** will contact you directly by email. This email will contain instructions and a link to an online application where you will formally apply for the Erasmus+ financial grant and arrange the necessary paperwork, such as the Grant Agreement.

In short: You don't apply for the financial support separately at the beginning. The application for the grant follows automatically after you have been successfully selected for an exchange spot by FRI. Keep an eye on your email for instructions from the central UL International Office after your nomination is confirmed.","1","False","Judge notes: The model correctly describes the overall process but fails to provide the direct application link, which is the most critical part of the answer. | F1: 0.1681 | Key info hit: True | Time: 16.58s",""
"Q22","When must my Erasmus+ financial support application be complete?","The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.","Based on the information provided by the University of Ljubljana, which manages the financial aspects of the Erasmus+ programme for all its faculties, your application for financial support must be completed at least **one month before the start of your mobility period**.

You need to submit the ""Application for the Erasmus+ grant"" through the STUDIS information system. Before you can do this, you will need to have the following documents ready to upload:

*   Your signed **Learning Agreement**.
*   The **Letter of Acceptance** from your host institution.","1","True","Judge notes: The model provides an incorrect deadline and hallucinates specific institutional details (University of Ljubljana, STUDIS system) that were not in the prompt. | F1: 0.241 | Key info hit: True | Time: 14.93s",""
"Q23","What are the final deadlines for Erasmus+ financial support in 2026/27?","For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

The final deadlines for Erasmus+ financial support for the **2026/27 academic year have not yet been announced**.

These deadlines are typically published approximately one year in advance. Based on previous years, here is the general timeline you can expect:

1.  **Main Application Deadline:** The call for applications for the Erasmus+ exchange for a given academic year is usually published in the winter. For example, the deadline to apply for the 2024/25 exchange was in early 2024. You should look for the main application call in the **winter of 2025/26**.

2.  **Financial Support Deadline:** After you have been selected for an exchange, there is a separate administrative process to receive the financial grant. The deadline to submit the required documents for the grant agreement is much closer to your departure, usually **about one month before the start of your mobility**.

**Where to find the official information:**

*   The main authority for Erasmus+ deadlines and financial support is the central **University of Ljubljana International Office**. You should monitor their website for the official call for applications:
    *   [University of Ljubljana - Erasmus+ Study Mobility](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_mobility_for_students/)

*   The **FRI International Office** will also share this information and provide faculty-specific guidance. Keep an eye on this page:
    *   [FRI - Student Exchanges](https://www.fri.uni-lj.si/en/study/student-exchanges)

My recommendation is to start checking these websites regularly from **autumn 2025** onwards for the official announcements for the 2026/27 academic year.","0","True","Judge notes: The model incorrectly claims the deadlines have not been announced, which is a hallucination, and fails to provide the correct dates from the expected answer. | F1: 0.1189 | Key info hit: True | Time: 18.81s",""
"Q24","If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","Based on the information provided by the University of Ljubljana, the deadline you mentioned is incorrect for an exchange starting in September.

No, if your exchange starts on 1 September 2026 (the first/winter semester), your application deadline would be long before 15 October.

The deadlines for the **first semester (winter semester)** are typically:

*   **Nomination Deadline:** 15 May
*   **Application Deadline:** 31 May

The **15 October** deadline you mentioned is the *nomination* deadline for students who plan to start their exchange in the **second semester (summer semester)**, which usually begins in February.

Therefore, for a start date of 1 September 2026, you must ensure you are nominated and have submitted your application by the end of May 2026. Please double-check these dates with your home university's international office.","3","False","Judge notes: The model correctly answers the question and provides more useful, specific details than the expected answer. | F1: 0.3158 | Key info hit: True | Time: 15.37s",""
"Q25","What documents do I need for the Erasmus+ financial support application?","The required documents include a Letter of Acceptance, Learning Agreement, copy or photo of a Slovenian bank card, certificate of enrollment for 2026/27, and supporting documents for additional grants if applicable. OLS language assessment results may also be uploaded if completed.","Of course, I can help with that. The financial support application is managed centrally by the University of Ljubljana's International Relations Office after you have been nominated for an exchange by the FRI faculty.

Based on the information on the University of Ljubljana website, you will typically need the following documents to complete your application for the Erasmus+ grant:

*   **The Grant Agreement (Pogodba o dodelitvi finančne podpore):** This is the main contract between you and the University of Ljubljana for your Erasmus+ funding. You will receive it for signing after your application is processed.
*   **Learning Agreement (Before the Mobility part):** A copy of your fully signed Learning Agreement, approved by you, the coordinator at FRI, and the coordinator at your host institution.
*   **Proof of Insurance:** You must arrange and provide proof of adequate health insurance for your entire stay abroad (e.g., a copy of your European Health Insurance Card - EHIC, and/or a copy of a commercial insurance policy).
*   **Bank Account Information:** You will need to provide details of a personal bank account (IBAN) where the grant will be transferred. This is usually done through the university's online system (VIS).
*   **Online Linguistic Support (OLS) Assessment:** You will be required to complete the mandatory OLS language assessment before your mobility.

**Important Note:** The exact procedure and list of documents can be updated. After you are officially nominated by FRI, you will receive detailed instructions and access to the application portal from the central **University of Ljubljana International Relations Office**. Always follow their instructions carefully.

For the most current information, please refer to the University of Ljubljana's official pages for outgoing Erasmus+ students: [https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/)","1","True","Judge notes: The answer misses key required documents (Letter of Acceptance, Certificate of Enrollment) and incorrectly lists the Grant Agreement as a document needed *for* the application, when it is actually the contract you sign *after* approval. | F1: 0.1546 | Key info hit: True | Time: 19.79s",""
"Q26","Can an email from the host university count as a Letter of Acceptance?","Yes. The Letter of Acceptance may be an official letter, an email confirming acceptance, or a fully signed Learning Agreement, depending on the instructions.","Yes, an email from the host university can count as a Letter of Acceptance.

According to the University of Ljubljana's guidelines for outgoing Erasmus+ students, the required document is a **""Letter of Acceptance (or e-mail)""**.

For the email to be valid, it must clearly state:
1.  That you have been accepted for the exchange.
2.  The exact start and end dates of your mobility period.

This confirmation is necessary for you to complete your Erasmus+ Grant Agreement with the University of Ljubljana before you leave.

**Recommendation:** While an email is officially accepted by the University of Ljubljana, if the host institution provides a formal, signed PDF document, it is always better to use that one. A formal letter might be required for other purposes, such as a visa application.","3","False","Judge notes: The model provides a correct and detailed answer, using a specific and accurate university example to illustrate the requirements. | F1: 0.1698 | Key info hit: True | Time: 16.77s",""
"Q27","What if I cannot get the host coordinator’s signature on the Learning Agreement before the application deadline?","The student may temporarily upload a Learning Agreement signed only by the student and the home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.","Based on the procedure for outgoing exchange students at FRI, here is what you should do:

If you cannot get the host coordinator’s signature on your Learning Agreement before the application deadline, you should submit the Learning Agreement signed by **you** and the **FRI Erasmus coordinator**.

You must then submit the fully signed version, which includes the signature from the host institution, as soon as you receive it. This is a common situation, and the main priority is to meet the FRI application deadline with the partially signed document.","2","False","Judge notes: The model correctly identifies the initial procedure but omits the specific deadline for submitting the fully signed document. | F1: 0.2299 | Key info hit: True | Time: 15.85s",""
"Q28","Can Erasmus+ payments be made to any bank account?","No. Payments can only be made to bank accounts opened in the Republic of Slovenia.","Based on the general regulations for the Erasmus+ programme at the University of Ljubljana, payments cannot be made to just any bank account. There are specific requirements.

The bank account for your Erasmus+ grant must:

*   **Be in your name.** The grant cannot be paid into an account belonging to your parents, friends, or anyone else.
*   **Be able to receive SEPA transfers in Euros (€).** Most bank accounts within the European Union meet this requirement.
*   **Be active for the entire duration of your exchange.**

You can typically use a personal bank account from your home country (as long as it accepts SEPA transfers in Euros) or a Slovenian bank account. Digital bank accounts (like Revolut, N26, etc.) are also generally acceptable, provided they have a proper IBAN and are registered in your name.

**Official Source:**
This information is formally confirmed when you sign your **Erasmus+ Grant Agreement** with the University of Ljubljana. You will be required to enter your precise bank details (IBAN and SWIFT/BIC code) into the university's information system (VIS) before your departure.

For any specific questions about your financial situation, it is always best to contact the **International Relations Office of the University of Ljubljana**, as they manage the grant payments centrally.","1","True","Judge notes: The model hallucinates that home country bank accounts are acceptable, directly contradicting the specific institutional requirement that the account must be in Slovenia. | F1: 0.1379 | Key info hit: True | Time: 18.34s",""
